Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,"Chicago, Illinois",23/05/16,1065696,1998
LLY,Lilly (Eli),Health Care,Pharmaceuticals,"Indianapolis, Indiana",31/12/70,59478,1876
LMT,Lockheed Martin,Industrials,Aerospace & Defense,"Bethesda, Maryland",04/03/57,936468,1995
LNT,Alliant Energy,Utilities,Electric Utilities,"Madison, Wisconsin",01/07/16,352541,1917
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",29/02/84,60667,1904/1946/1959
LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,"Fremont, California",29/06/12,707549,1980
LULU,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Vancouver, Canada",18/10/23,1397187,1998
LUV,Southwest Airlines,Industrials,Passenger Airlines,"Dallas, Texas",01/07/94,92380,1967
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",03/10/19,1300514,1988
LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho",03/12/18,1679273,2016 (1950)
LYB,LyondellBasell,Materials,Specialty Chemicals,"Rotterdam, Netherlands",05/09/12,1489393,2007
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,"Beverly Hills, California",23/12/19,1335258,2010
MA,Mastercard,Financials,Transaction & Payment Processing Services,"Harrison, New York",18/07/08,1141391,1966
MAA,Mid-America Apartment Communities,Real Estate,Multi-Family Residential REITs,"Memphis, Tennessee",02/12/16,912595,1977
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",29/05/98,1048286,1927
MAS,Masco,Industrials,Building Products,"Livonia, Michigan",30/06/81,62996,1929
MCD,McDonald's,Consumer Discretionary,Restaurants,"Chicago, Illinois",30/06/70,63908,1940
MCHP,Microchip Technology,Information Technology,Semiconductors,"Chandler, Arizona",07/09/07,827054,1989
MCK,McKesson Corporation,Health Care,Health Care Distributors,"Irving, Texas",13/01/99,927653,1833
MCO,Moody's Corporation,Financials,Financial Exchanges & Data,"New York City, New York",01/07/98,1059556,1909
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",02/10/12,1103982,2012
MDT,Medtronic,Health Care,Health Care Equipment,"Dublin, Ireland",31/10/86,1613103,1949
MET,MetLife,Financials,Life & Health Insurance,"New York City, New York",11/12/00,1099219,1868
META,Meta Platforms,Communication Services,Interactive Media & Services,"Menlo Park, California",23/12/13,1326801,2004
MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",26/07/17,789570,1986
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,"Calhoun, Georgia",23/12/13,851968,1878
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,"Hunt Valley, Maryland",20/03/03,63754,1889
MKTX,MarketAxess,Financials,Financial Exchanges & Data,"New York City, New York",01/07/19,1278021,2000
MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",02/07/14,916076,1993
MMC,Marsh McLennan,Financials,Insurance Brokers,"New York City, New York",31/08/87,62709,1905
MMM,3M,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",04/03/57,66740,1902
MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Corona, California",28/06/12,865752,2012 (1935)
MO,Altria,Consumer Staples,Tobacco,"Richmond, Virginia",04/03/57,764180,1985
MOH,Molina Healthcare,Health Care,Managed Health Care,"Long Beach, California",02/03/22,1179929,1980
MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,"Tampa, Florida",26/09/11,1285785,2004 (1865 / 1909)
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",01/07/11,1510295,2009 (1887)
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,"Kirkland, Washington",12/02/21,1280452,1997
MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",04/03/57,310158,1891
MRNA,Moderna,Health Care,Biotechnology,"Cambridge, Massachusetts",21/07/21,1682852,2010
MRO,Marathon Oil,Energy,Oil & Gas Exploration & Production,"Houston, Texas",04/03/57,101778,1887
